plan_id,network_tier,deductible_type,deductible_amount,family_cost,display_string
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040004,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010004,In-Network,Drug EHB Deductible,3800,Individual,
40572FL0070024,In-Network,Combined Medical and Drug EHB Deductible,4700,Individual,
49004FL0020004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020004,In-Network,Drug EHB Deductible,3800,Individual,
16842FL0120001,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
44228FL0040005,In-Network,Combined Medical and Drug EHB Deductible,6000,Individual,
44228FL0040001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
